Client,MB up,MB down
d8:a2:5e:33:70:2f,72,1057
d8:a2:5e:41:2d:01,238,1479
d8:b3:77:74:08:85,1,7
e0:2a:82:9f:cf:84,18,286
e0:b9:a5:3b:6d:f8,0,0
e0:f8:47:1d:ff:70,39,110
e0:f8:47:2d:15:5e,38,134
e0:f8:47:62:2d:f7,33,311
e8:06:88:20:af:95,330,1383
ec:55:f9:84:78:54,0,0
ec:55:f9:b7:b4:ad,10,78
f0:7b:cb:4c:a7:40,7,48
f0:b4:79:f0:e8:e6,92,397
f4:6d:04:54:41:74,0,0
f8:7b:7a:b6:4c:b3,0,0
f8:db:7f:dc:7a:11,61,505
